artist,album,name,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Marshmello,Sugar Papi,Alcohol,41,0.671,0.626,0.429,0.00752,0.106,-10.789,0.0351,129.851,0.33
Marshmello,Sugar Papi,Como Yo :(,41,0.307,0.626,0.662,0.000016,0.241,-4.272,0.0282,94.993,0.511
Micheal Jackson,Invincible,Threatened,41,0.00487,0.58,0.864,0.487,0.0425,-4.167,0.0342,139.979,0.701
Anirudh Ravichander,Vettaiyan (Original Motion Picture Soundtrack),Big B Theme,41,0.00263,0.587,0.804,0,0.0724,-5.594,0.0436,124.063,0.389
Anirudh Ravichander,Vettaiyan (Original Motion Picture Soundtrack),Uchathila,41,0.148,0.562,0.918,0.163,0.362,-6.085,0.067,97.14,0.686
Micheal Jackson,Bad 25th Anniversary,Todo Mi Amor Eres Tu (I Just Can't Stop Loving You),41,0.137,0.742,0.73,0,0.178,-6.028,0.216,94.879,0.781
Marshmello,Shockwave,VIBR8,41,0.97,0.16,0.35,0.909,0.0853,-10.847,0.0309,139.804,0.0729
Marshmello,Shockwave,House Party,41,0.0239,0.833,0.931,0.0000618,0.101,-9.366,0.134,135.007,0.717
Micheal Jackson,XSCAPE,Do You Know Where Your Children Are,40,0.524,0.727,0.405,0.933,0.0846,-15.569,0.0727,99.027,0.106
Alan Walker,World Of Walker,OK,40,0.0599,0.736,0.326,0.527,0.0816,-10.302,0.0792,170.023,0.662
Marshmello,Joytime,Know Me,40,0.193,0.678,0.562,0,0.104,-9.197,0.508,94.241,0.566
Marshmello,Joytime,Take It Back,40,0.433,0.642,0.69,0.00000105,0.0695,-5.715,0.0421,129.869,0.363
Micheal Jackson,Thriller 25 Super Deluxe Edition,Billie Jean (2008 Kanye West Mix) (feat. Kanye West) - Thriller 25th Anniversary Remix,40,0.885,0.51,0.391,0.831,0.0845,-19.195,0.0517,120.015,0.0381
Micheal Jackson,Thriller 25 Super Deluxe Edition,For All Time,40,0.808,0.333,0.509,0.708,0.129,-7.078,0.0415,160.012,0.313
Hip Hop Tamizha,Hiphop Tamizhan,Clubbula Mabbula,40,0.467,0.322,0.589,0,0.145,-7.983,0.0353,157.686,0.431
Marshmello,Shockwave,Jiggle It,40,0.957,0.26,0.207,0.00163,0.107,-15.236,0.0346,64.604,0.13
Vijay Antony,Ninaithale Inikkum (Original Motion Picture Soundtrack),Allah,40,0.4,0.495,0.301,0.0235,0.111,-11.263,0.0278,80.27,0.363
Micheal Jackson,Invincible,Privacy,40,0.233,0.888,0.816,0.00042,0.127,-4.909,0.0404,127.276,0.961
Micheal Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",She's Out Of My Life,40,0.178,0.656,0.853,0.32,0.076,-4.542,0.163,198.044,0.57
Yuvan Shankar Raja,Garudan (Original Motion Picture Soundtrack),Othapada Veriyattam,39,0.248,0.403,0.759,0.000246,0.0932,-10.92,0.0524,94.041,0.897
Micheal Jackson,XSCAPE,Slave to the Rhythm (Original Version),39,0.126,0.878,0.821,0.0461,0.183,-9.875,0.089,118.881,0.947
Marshmello,Shockwave,Hitta (feat. Juicy J),39,0.266,0.65,0.598,0.00841,0.174,-9.143,0.0391,92.999,0.366
Marshmello,Joytime III,Run it Up,39,0.0162,0.453,0.968,0.0000594,0.153,-4.734,0.104,75.102,0.432
Micheal Jackson,Invincible,Don't Walk Away,39,0.5,0.672,0.883,0.877,0.353,-10.499,0.263,174.038,0.039
Micheal Jackson,Bad 25th Anniversary,I'm So Blue,39,0.102,0.671,0.567,0.021,0.175,-9.499,0.0736,79.989,0.888
Micheal Jackson,Invincible,The Lost Children,39,0.556,0.751,0.646,0,0.0869,-5.547,0.0484,143.241,0.671
Marshmello,Joytime II,Check This Out,39,0.416,0.324,0.257,0.00918,0.374,-8.52,0.028,89.385,0.208
Marshmello,Joytime III,Room to Fall,39,0.727,0.415,0.26,0.896,0.09,-16.055,0.0344,110.013,0.161
Alan Walker,World Of Walker,Hummell Gets The Rockets - Alan Walker Remix,39,0.179,0.808,0.535,0.0000991,0.158,-12.521,0.0353,114.031,0.848
Yuvan Shankar Raja,Masss (Original Motion Picture Soundtrack),Masss Theme,39,0.0000375,0.808,0.816,0.876,0.0285,-5.963,0.0507,118.959,0.606
Marshmello,Joytime,Home,39,0.0582,0.187,0.317,0.0000684,0.0935,-13.638,0.0313,75.998,0.0453
Anirudh Ravichander,Love Hits of Anirudh Ravichander,"Velicha Poove (From ""Ethir Neechal"")",39,0.609,0.339,0.472,0.517,0.622,-11.48,0.0407,139.942,0.174
Vijay Antony,Aval Peyar Tamilarasi (Original Motion Picture Soundtrack),Nee Otha Sollu Sollu,39,0.162,0.939,0.685,0.00000457,0.671,-8.247,0.412,99.996,0.904
Hip Hop Tamizha,Mega Power Star,Dhruva Dhruva,38,0.938,0.188,0.167,0.955,0.0754,-16.253,0.042,153.922,0.0376
Sam C.S.,Kaithi (Original Background Score),Kill and Destroy,38,0.204,0.618,0.519,0.0000269,0.125,-9.473,0.393,90.009,0.77
Hip Hop Tamizha,A1 Express (Original Motion Picture Soundtrack),Seatu siragadha,38,0.285,0.555,0.611,0.00106,0.273,-9.216,0.356,94.939,0.409
Marshmello,Joytime,Want U 2,38,0.185,0.28,0.219,0.000125,0.113,-12.442,0.0396,98.302,0.0319
Anirudh Ravichander,Love Hits of Anirudh Ravichander,"So Baby (From ""Doctor"")",38,0.00687,0.663,0.936,0.418,0.21,-5.516,0.216,109.729,0.592
Hip Hop Tamizha,Kadaisi Ulaga Por (Original Motion Picture Soundtrack),Unakaaga,38,0.861,0.416,0.35,0.836,0.115,-15.598,0.032,80.017,0.2
Marshmello,Joytime III,Falling To Pieces,38,0.72,0.17,0.287,0.991,0.115,-19.944,0.0403,121.942,0.217
Marshmello,Joytime III,Sad Songs,38,0.139,0.624,0.605,0.713,0.236,-11.614,0.0368,160,0.662
Micheal Jackson,Thriller 40,"Thriller 7"" - Special Edit",38,0.631,0.607,0.273,0.697,0.237,-14.096,0.0537,109.997,0.326
Micheal Jackson,Thriller 25 Super Deluxe Edition,Carousel,38,0.291,0.642,0.493,0,0.0872,-8.581,0.0436,84.966,0.492
Micheal Jackson,Music & Me,Music And Me,38,0.11,0.78,0.868,0.0000767,0.352,-4.5,0.0705,106.069,0.773
Yuvan Shankar Raja,The Greatest Of All Time Ost,The Goat,38,0.249,0.653,0.831,0.187,0.0755,-4.267,0.199,198.032,0.541
Vijay Antony,Pichaikkaran (Original Motion Picture Soundtrack),Nenjorathil - Female Vocals,38,0.206,0.794,0.551,0.0000101,0.289,-14.607,0.0498,105.547,0.91
Sam C.S.,Vikram Vedha (Original Background Score),Vedha's Swag,38,0.301,0.747,0.86,0.0385,0.0743,-4.071,0.278,90.445,0.623
Micheal Jackson,Got To Be There,I Wanna Be Where You Are,38,0.0671,0.874,0.722,0.00768,0.0563,-6.385,0.0431,132.023,0.418
Marshmello,Joytime III,Down,38,0.709,0.324,0.235,0.0108,0.133,-16.178,0.0656,144.084,0.358
Micheal Jackson,Thriller 40,Sunset Driver - Demo,38,0.145,0.382,0.932,0.0000055,0.816,-4.499,0.203,86.517,0.462
Micheal Jackson,XSCAPE,Blue Gangsta (Original Version),38,0.206,0.901,0.672,0.000796,0.102,-4.222,0.0616,129.1,0.716
Micheal Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",Little Susie / Pie Jesu,38,0.436,0.772,0.529,0.943,0.0896,-13.907,0.0366,119.996,0.62
Marshmello,Shockwave,Back In Time,38,0.713,0.357,0.249,0.0000864,0.0843,-14.27,0.0293,150.067,0.23
Micheal Jackson,Bad 25th Anniversary,Price of Fame,37,0.407,0.539,0.695,0.0000146,0.0689,-6.34,0.0363,179.957,0.452
Yuvan Shankar Raja,The Greatest Of All Time Ost,Shadows Of The Dark,37,0.034,0.818,0.803,0,0.153,-4.282,0.0797,106.97,0.632
Alan Walker,Walkerverse Pt. I & II,Extremes,37,0.651,0.14,0.337,0.809,0.104,-15.867,0.0342,89.299,0.0362
Alan Walker,Walkerverse Pt. I & II,Adventure Time,37,0.011,0.878,0.646,0.784,0.0931,-11.711,0.0408,126.047,0.589
Marshmello,Joytime II,Paralyzed,37,0.246,0.636,0.827,0.00123,0.122,-5.543,0.0525,169.909,0.172
Micheal Jackson,Thriller 40,Got the Hots - Demo,37,0.43,0.763,0.685,0,0.077,-6.963,0.0349,119.989,0.602
Yuvan Shankar Raja,Maanaadu (Original Motion Picture Soundtrack),Maanaadu Theme,37,0.385,0.454,0.664,0.00000286,0.246,-6.557,0.0846,79.88,0.696
Sam C.S.,Lakshmi,Morrakka Mattrakkaa,37,0.00442,0.511,0.683,0.00516,0.089,-6.484,0.0427,123.85,0.254
Marshmello,Joytime,Show You,37,0.937,0.394,0.0889,0.719,0.0805,-19.392,0.0338,95.984,0.0619
Micheal Jackson,Thriller 25 Super Deluxe Edition,Beat It (2008 with Fergie Remix) (with Fergie) - Thriller 25th Anniversary Remix,37,0.1,0.763,0.468,0.00728,0.122,-10.092,0.0582,114.999,0.15
Marshmello,Joytime II,Power,37,0.637,0.483,0.495,0.733,0.256,-7.259,0.0281,149.968,0.946
Micheal Jackson,Thriller 25 Super Deluxe Edition,The Girl Is Mine (2008 with will.i.am) (with will.i.am) - Thriller 25th Anniversary Remix,37,0.807,0.618,0.43,0,0.189,-9.38,0.216,117.125,0.826
Micheal Jackson,Bad 25th Anniversary,Fly Away,37,0.0685,0.634,0.838,0.000025,0.645,-4.798,0.208,190.035,0.841
Micheal Jackson,Thriller 40,Starlight,37,0.0242,0.776,0.711,0.000353,0.234,-9.03,0.0473,138.728,0.901
Micheal Jackson,Thriller 40,"Human Nature 7""",37,0.702,0.339,0.331,0.00025,0.0808,-12.963,0.037,76.829,0.0377
Yuvan Shankar Raja,Maanaadu (Original Motion Picture Soundtrack),Dhanush Kodi's Theme,37,0.652,0.63,0.528,0.0127,0.262,-9.555,0.0285,93.191,0.642
Micheal Jackson,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,Superfly Sister,37,0.246,0.678,0.835,0.132,0.076,-4.457,0.193,198.059,0.594
Vijay Antony,Kadhalil Vizhundhen,Naakka Mukka 2,36,0.00114,0.567,0.703,0.921,0.101,-2.08,0.0311,142.019,0.309
Sam C.S.,Puriyaatha Puthir (Original Motion Picture Soundtrack),Mazhaikul,36,0.437,0.596,0.871,0.0102,0.165,-5.592,0.0969,94.903,0.488
Hip Hop Tamizha,Mega Power Star,Freedom,36,0.0396,0.615,0.95,0.957,0.0776,-2.006,0.3,74.215,0.935
Anirudh Ravichander,Leo (Telugu) [Original Motion Picture Soundtrack],Ney Ready,36,0.319,0.647,0.506,0.0000201,0.058,-7.852,0.0396,146.171,0.52
Micheal Jackson,Bad 25th Anniversary,Speed Demon (Remix by Nero),36,0.0454,0.834,0.421,0.0999,0.071,-12.481,0.0396,110.003,0.842
Micheal Jackson,Bad 25th Anniversary,Don't Be Messin' 'Round,36,0.809,0.803,0.567,0.981,0.115,-10.404,0.17,120.086,0.28
Micheal Jackson,Thriller 40,Billie Jean - Long Version,36,0.0486,0.926,0.745,0.0000224,0.137,-9.737,0.314,99.99,0.797
Marshmello,Joytime II,Tell Me,36,0.49,0.337,0.4,0.747,0.0842,-14.379,0.0416,147.661,0.087
Marshmello,Joytime II,Flashbacks,36,0.736,0.639,0.295,0.0000381,0.186,-11.154,0.0621,170.425,0.741
Micheal Jackson,Bad 25th Anniversary,Bad (feat. Pitbull),36,0.00224,0.732,0.838,0.875,0.135,-6.626,0.0404,124.001,0.25
Micheal Jackson,XSCAPE,Xscape (Original Version),36,0.285,0.555,0.611,0.00106,0.273,-9.216,0.356,94.939,0.409
Micheal Jackson,Bad 25th Anniversary,Free,36,0.89,0.268,0.186,0.00271,0.097,-12.736,0.0338,69.361,0.118
Hip Hop Tamizha,Hiphop Tamizhan,Iraiva,36,0.172,0.408,0.596,0.859,0.18,-12.324,0.033,119.975,0.056
Micheal Jackson,Thriller 25 Super Deluxe Edition,Wanna Be Startin' Somethin' (2008 with Akon) (with Akon) - Thriller 25th Anniversary Remix,36,0.0035,0.606,0.944,0.0000785,0.146,-3.216,0.237,76.018,0.254
Marshmello,Joytime,Bounce,36,0.0872,0.575,0.941,0.736,0.146,-7.908,0.0581,127.967,0.0387
Micheal Jackson,Michael,Best of Joy,36,0.00236,0.918,0.453,0.737,0.0718,-7.381,0.0348,131.991,0.631
Marshmello,Joytime II,Imagine,36,0.0111,0.748,0.379,0.289,0.148,-20.839,0.0842,105.693,0.178
Micheal Jackson,Thriller 25 Super Deluxe Edition,Someone in the Dark,35,0.821,0.487,0.409,0.852,0.391,-15.996,0.0398,83.967,0.197
Micheal Jackson,Michael,Much Too Soon,35,0.482,0.562,0.978,0.866,0.355,-3.216,0.297,135.174,0.357
Marshmello,Shockwave,Bad Bitches (feat. Megan Thee Stallion),35,0.709,0.411,0.278,0,0.0994,-14.088,0.0509,67.945,0.409
Marshmello,Joytime III,Put Yo Hands Up,35,0.262,0.747,0.56,0.884,0.162,-9.054,0.0401,109.95,0.181
Marshmello,Shockwave,Supernovacane,35,0.0121,0.671,0.879,0,0.376,-4.755,0.121,92.963,0.565
Alan Walker,World Of Walker,Drone Wars - Instrumental,35,0.905,0.158,0.0781,0.866,0.561,-16.853,0.0357,76.116,0.0392
Yuvan Shankar Raja,Taramani (Original Motion Picture Soundtrack),Unn Badhil Vendi,35,0.207,0.444,0.297,0.784,0.186,-13.22,0.0328,79.97,0.0626
Sam C.S.,Lakshmi,Aala Aala,35,0.986,0.678,0.268,0,0.219,-17.569,0.934,98.091,0.495
Vijay Antony,Lets Play Vijay Antony Hits,"Arumbay Karumbay (From ""Kaali"")",35,0.0612,0.695,0.633,0.000195,0.0926,-4.946,0.0599,96.782,0.557
Micheal Jackson,Michael,(I Can't Make It) Another Day (feat. Lenny Kravitz),35,0.51,0.817,0.348,0.000119,0.11,-10.213,0.29,91.997,0.634
Marshmello,Shockwave,Candy Kid,35,0.815,0.0862,0.256,0.901,0.108,-18.582,0.0354,178.502,0.0763
Marshmello,Joytime III,Earthquake,35,0.714,0.584,0.369,0.0000354,0.17,-16.059,0.834,98.774,0.473
Yuvan Shankar Raja,Yuvans Yorker Hits,Veera Soora,35,0.549,0.565,0.47,0.932,0.0976,-5.956,0.0355,124.975,0.133
Micheal Jackson,XSCAPE,Do You Know Where Your Children Are (Original Version),35,0.438,0.604,0.396,0.902,0.111,-19.92,0.0346,105.013,0.0382
Anirudh Ravichander,"Anirudh Sings, Vol. 01","Boomi Enna Suthudhe (From ""Ethir Neechal"")",35,0.131,0.43,0.606,0,0.173,-5.115,0.0431,169.988,0.123
A R Rahman,Ponniyin Selvan Part - 2 (Original Motion Picture Soundtrack),Chinnanjiru (Marumurai),35,0.0952,0.745,0.46,0.00000106,0.0751,-9.92,0.0614,84.994,0.802
Micheal Jackson,Thriller 40,Who Do You Know - Demo,35,0.0073,0.658,0.649,0.0000251,0.193,-6.546,0.0395,104.103,0.122
Anirudh Ravichander,Leo (Original Motion Picture Soundtrack),Glimpse of Harold Das,35,0.765,0.381,0.394,0,0.21,-13.734,0.0606,81.072,0.516
Yuvan Shankar Raja,Masss (Original Motion Picture Soundtrack),Therikkudhu Masss,35,0.993,0.208,0.116,0.962,0.0653,-16.965,0.0377,77.858,0.248
Marshmello,Sugar Papi,Tusi,35,0.633,0.522,0.513,0.00115,0.111,-6.67,0.0293,149.97,0.324
Yuvan Shankar Raja,Taramani (Original Motion Picture Soundtrack),Yaaro Ucchikilai Meley,35,0.896,0.354,0.562,0.94,0.186,-10.066,0.0369,180.044,0.0719
Hip Hop Tamizha,Mega Power Star,Rachcha,34,0.302,0.578,0.271,0.836,0.117,-14.974,0.0378,109.943,0.06
Alan Walker,World Of Walker,Red Nexus Rising - Interlude,34,0.588,0.526,0.896,0,0.37,-4.708,0.197,129.313,0.745
Yuvan Shankar Raja,The Greatest Of All Time Ost,Captain Lives On,34,0.000739,0.547,0.651,0,0.235,-7.601,0.3,77.878,0.645
Micheal Jackson,Thriller 40,Can't Get Outta The Rain,34,0.825,0.658,0.518,0,0.556,-5.194,0.0473,133.81,0.535
Micheal Jackson,Bad 25th Anniversary,Song Groove (a.k.a. Abortion Papers),34,0.289,0.424,0.551,0.926,0.109,-14.062,0.0634,159.998,0.17
Micheal Jackson,Music & Me,"Happy (Love Theme From ""Lady Sings The Blues"")",34,0.445,0.717,0.544,0.00000516,0.0973,-6.598,0.0371,139.959,0.641
Anirudh Ravichander,Leo (Original Motion Picture Soundtrack),Glimpse of Antony Das,34,0.341,0.713,0.615,0.00000155,0.0608,-7.648,0.138,135.017,0.807
Sam C.S.,RDX,Scene Mone,34,0.0544,0.877,0.854,0.000055,0.144,-4.523,0.147,114.472,0.54
Yuvan Shankar Raja,Aaa,Madurai Micheal Theme,34,0.105,0.624,0.868,0.0000472,0.12,-7.103,0.206,133.125,0.563
Micheal Jackson,Thriller 25 Super Deluxe Edition,P.Y.T. (Pretty Young Thing) (2008 with will.i.am) (with will.i.am) - Thriller 25th Anniversary Remix,34,0.86,0.242,0.226,0.196,0.139,-15.375,0.0415,142.119,0.0392
Sam C.S.,Rocketry The Nambi Effect (Tamil) [Original Motion Picture Soundtrack],Rocketry's Shri Venkatesa Suprabatham,34,0.0487,0.884,0.96,0.0227,0.271,-4.613,0.0721,116.273,0.617
Anirudh Ravichander,Jawan,Chaleya Arabic Version,34,0.112,0.539,0.731,0.00000119,0.129,-5.085,0.453,81.114,0.568
A R Rahman,May Maadham (Original Motion Picture Soundtrack),Minnalae,34,0.619,0.736,0.892,0.00000114,0.111,-5.217,0.28,88.124,0.597
Yuvan Shankar Raja,Music Special,"Pani Thulli (From ""Kanda Naal Mudhal"")",34,0.428,0.632,0.788,0.781,0.0905,-10.293,0.0399,79.993,0.857
Hip Hop Tamizha,Kadaisi Ulaga Por (Original Motion Picture Soundtrack),Boombastic,34,0.121,0.711,0.962,0,0.688,-5.1,0.181,109.996,0.613
A R Rahman,Varalaru (Original Motion Picture Soundtrack),Inisai Alaparaiye,34,0.318,0.166,0.28,0.0383,0.176,-11.562,0.0311,83.08,0.0346
Vijay Antony,Pichaikkaran (Original Motion Picture Soundtrack),Unakkaga Varuven,34,0.708,0.541,0.809,0,0.72,-4.286,0.324,120.094,0.753
Vijay Antony,Pichaikkaran (Original Motion Picture Soundtrack),Nooru Samigal,34,0.765,0.381,0.394,0,0.21,-13.734,0.0606,81.072,0.516
Yuvan Shankar Raja,Masss (Original Motion Picture Soundtrack),Con Man Theme,34,0.0508,0.633,0.787,0,0.204,-5.766,0.241,133.62,0.146
Hip Hop Tamizha,Mega Power Star,Nee Jathaga,33,0.416,0.635,0.781,0.000001,0.151,-6.02,0.272,82.188,0.799
Micheal Jackson,Thriller 40,P.Y.T. (Pretty Young Thing) - Demo Version,33,0.15,0.804,0.858,0,0.041,-5.267,0.0288,120.048,0.863
A R Rahman,Maamannan (Original Motion Picture Soundtrack),Jigu Jigu Rail,33,0.0851,0.569,0.673,0.00000291,0.647,-12.955,0.0638,93.575,0.803
A R Rahman,Maamannan (Original Motion Picture Soundtrack),Manna Maamanna,33,0.702,0.484,0.296,0,0.0929,-14.47,0.027,97.995,0.227
Micheal Jackson,Thriller 40,Thriller (Megamix),33,0.181,0.547,0.676,0.831,0.106,-13.129,0.0532,140.103,0.404
Hip Hop Tamizha,Kadaisi Ulaga Por (Original Motion Picture Soundtrack),I am a Beast,33,0.22,0.0669,0.162,0.872,0.126,-22.4,0.0367,72.681,0.0749
Yuvan Shankar Raja,Rakshasudu (Original Motion Picture Soundtrack),Nee Needavutha,33,0.307,0.578,0.865,0.856,0.0559,-9.265,0.0474,77.482,0.963
Yuvan Shankar Raja,Maanaadu (Original Motion Picture Soundtrack),Meherezylaa,33,0.00442,0.511,0.683,0.00516,0.089,-6.484,0.0427,123.85,0.254
Micheal Jackson,Bad 25th Anniversary,Bad - Remix By AfroJack-Club Mix,33,0.836,0.318,0.182,0.000987,0.0423,-13.168,0.0351,134.638,0.0541
Anirudh Ravichander,Jailer (Original Motion Picture Soundtrack),Hukum,33,0.0281,0.468,0.627,0.00000797,0.11,-5.085,0.0476,179.642,0.159
A R Rahman,PS-2 (Kannada) [Original Motion Picture Soundtrack],"Kirunage (From ""PS-2"") [Kannada]",33,0.000357,0.642,0.741,0.666,0.0956,-11.59,0.0348,125.014,0.609
A R Rahman,Ponniyin Selvan Part - 2 (Original Motion Picture Soundtrack),Aazhi Mazhai Kanna,33,0.0575,0.61,0.485,0.0000025,0.31,-14.63,0.0782,161.248,0.894
Micheal Jackson,Thriller 25 Super Deluxe Edition,Thriller - Instrumental,33,0.123,0.669,0.485,0.0000268,0.604,-7.744,0.417,74.376,0.261
Marshmello,Joytime III,Let's Get Down,33,0.000874,0.624,0.97,0.548,0.545,-0.975,0.0788,142.019,0.869
Marshmello,Joytime III,Here We Go Again,33,0.253,0.524,0.681,0.394,0.344,-10.842,0.0471,105.742,0.513
Anirudh Ravichander,The Badass Themes,"Soul of Doctor Theme (From ""Doctor"")",33,0.351,0.668,0.923,0.000216,0.443,-5.758,0.0719,114.921,0.615
A R Rahman,May Maadham (Original Motion Picture Soundtrack),Marghazhi Poove,33,0.308,0.683,0.676,0,0.191,-12.899,0.441,125.008,0.84
Micheal Jackson,Thriller 40,She's Trouble - Demo,33,0.855,0.614,0.662,0.00014,0.17,-2.159,0.0328,143.909,0.21
Micheal Jackson,Thriller 40,Behind The Mask - Mike's Mix (Demo),33,0.702,0.484,0.296,0,0.0929,-14.47,0.027,97.995,0.227
Yuvan Shankar Raja,The Greatest Of All Time Ost,Lonely Lullaby,33,0.361,0.702,0.434,0.000417,0.294,-14.962,0.0464,130.06,0.785
Micheal Jackson,Thriller 40,What A Lovely Way To Go - Demo,32,0.424,0.398,0.39,0,0.946,-11.841,0.097,74.727,0.266
Micheal Jackson,Ben,My Girl,32,0.279,0.613,0.44,0.0000712,0.106,-18.576,0.679,66.344,0.313
Marshmello,Sugar Papi,Say Woah!,32,0.193,0.423,0.578,0.596,0.118,-10.627,0.0473,99.92,0.0968
Micheal Jackson,Thriller 25 Super Deluxe Edition,Billie Jean (1981 Home Demo),32,0.206,0.299,0.189,0.46,0.125,-15.847,0.0364,140.291,0.0739
Anirudh Ravichander,Love Hits of Anirudh Ravichander,"Naana Thaana (From ""Thaanaa Serndha Koottam"")",32,0.0713,0.783,0.83,0.00000759,0.141,-4.874,0.0421,138.821,0.922
Marshmello,Sugar Papi,Super High,32,0.0177,0.175,0.293,0.822,0.0788,-14.66,0.0399,120.782,0.0745
Hip Hop Tamizha,Kadaisi Ulaga Por (Original Motion Picture Soundtrack),Adhirgiradha,32,0.485,0.758,0.604,0,0.469,-12.52,0.0366,110.252,0.95
Micheal Jackson,Thriller 40,The Toy - Demo,32,0.89,0.133,0.126,0.39,0.153,-20.832,0.0344,99.094,0.0352
Yuvan Shankar Raja,The Greatest Of All Time Ost,Srinidhi Blossoms,32,0.183,0.7,0.812,0,0.0756,-8.128,0.297,97.405,0.801
Yuvan Shankar Raja,Yuvans Yorker Hits,Vennilaa,32,0.0206,0.874,0.672,0,0.0783,-5.568,0.198,103.921,0.711
Micheal Jackson,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,Scream Louder - Flyte Tyme Remix,32,0.169,0.61,0.655,0.525,0.116,-13.21,0.11,56.978,0.162
Marshmello,Shockwave,Fairytale,32,0.00608,0.527,0.93,0,0.6,-5.045,0.0966,90.022,0.706
A R Rahman,Maamannan (Original Motion Picture Soundtrack),Kodi Parakura Kaalam,31,0.359,0.607,0.726,0.92,0.0849,-6.314,0.0365,130.017,0.0843
Hip Hop Tamizha,Imaikkaa Nodigal (Original Background Score),Ulaga Azhagiye Neeyaa,31,0.18,0.497,0.572,0.594,0.134,-10.695,0.112,179.152,0.0726
Marshmello,Sugar Papi,Dónde Están Que No Los Veo,31,0.264,0.8,0.585,0,0.153,-7.343,0.0924,126.058,0.779
Anirudh Ravichander,"Anirudh Sings, Vol. 01","Dharala Prabhu Title Track (From ""Dharala Prabhu"")",31,0.244,0.529,0.845,0,0.143,-8.142,0.404,85.63,0.331
Yuvan Shankar Raja,The Greatest Of All Time Ost,Captain In Action,31,0.944,0.152,0.178,0.852,0.0774,-21.924,0.034,105.033,0.0768
A R Rahman,Maamannan (Original Motion Picture Soundtrack),Raasa Kannu,31,0.151,0.578,0.436,0.657,0.208,-13.891,0.081,104.798,0.126
Micheal Jackson,Thriller 40,Beat It - Demo,31,0.347,0.729,0.687,0.00949,0.505,-8.392,0.055,101.022,0.793
Vijay Antony,Sukran (Original Motion Picture Soundtrack),Suppose,31,0.688,0.262,0.0924,0.0128,0.256,-15.238,0.0373,52.551,0.0616
Marshmello,Joytime III,Set Me Free,31,0.344,0.17,0.24,0.953,0.198,-19.304,0.0319,83.166,0.165
Marshmello,Shockwave,Pushin Stacks,31,0.0887,0.68,0.392,0.936,0.0978,-14.907,0.0677,101.44,0.0337
Anirudh Ravichander,Jailer (Original Motion Picture Soundtrack),Kaavaalaayya,31,0.631,0.597,0.668,0.947,0.0933,-10.559,0.185,200.122,0.0137
Micheal Jackson,Bad 25th Anniversary,Je Ne Veux Pas La Fin De Nous (I Just Can't Stop Loving You) - French Version,31,0.0709,0.68,0.721,0.000231,0.21,-3.525,0.0488,102.07,0.23
Yuvan Shankar Raja,The Greatest Of All Time Ost,Echos Of The Past,31,0.712,0.598,0.454,0.00175,0.101,-9.147,0.0282,111.02,0.247
Yuvan Shankar Raja,The Greatest Of All Time Ost,Sunil Vs Kalyan,31,0.0111,0.627,0.729,0.051,0.104,-9.114,0.316,169.786,0.155
Hip Hop Tamizha,Kadaisi Ulaga Por (Original Motion Picture Soundtrack),Arasiyal undertaker,31,0.402,0.677,0.237,0.0607,0.141,-21.646,0.0371,108.262,0.545
Hip Hop Tamizha,Mega Power Star,Laila O Lailaa,31,0.418,0.453,0.614,0.00155,0.256,-14.469,0.0874,174.165,0.657
Micheal Jackson,Ben,We've Got A Good Thing Going,30,0.379,0.62,0.576,0.803,0.231,-9.634,0.0372,130.475,0.343
Hip Hop Tamizha,Hiphop Tamizhan,Ini Illaye Hum,30,0.491,0.0829,0.146,0.959,0.112,-19.445,0.0405,179.916,0.0351
Anirudh Ravichander,Leo (Hindi) [Original Motion Picture Soundtrack],Ready Chal,30,0.366,0.456,0.338,0.942,0.34,-12.022,0.0279,140.729,0.826
Yuvan Shankar Raja,The Greatest Of All Time Ost,Menon Is Alive,30,0.941,0.217,0.0934,0.892,0.0542,-21.795,0.0379,71.495,0.0334
A R Rahman,Ponniyin Selvan Part - 2 (Original Motion Picture Soundtrack),Ilaiyor Soodaar,30,0.0000245,0.404,0.763,0.491,0.142,-3.476,0.0318,82.028,0.157
A R Rahman,Rahman - The Master Blaster,Swasamae,30,0.00222,0.539,0.678,0.777,0.188,-12.067,0.139,87.933,0.37
Micheal Jackson,Forever Michael,We're Almost There,30,0.324,0.767,0.598,0.0043,0.0471,-23.031,0.0795,104.076,0.53
Yuvan Shankar Raja,The Greatest Of All Time Ost,Welcome To Moscow,30,0.519,0.7,0.823,0.0000749,0.295,-5.821,0.0674,134.865,0.521
Sam C.S.,Lakshmi,Iraiva Iraiva,30,0.0837,0.855,0.529,0,0.423,-6.679,0.263,100.036,0.548
Anirudh Ravichander,Leo (Telugu) [Original Motion Picture Soundtrack],Prema Oh Ayudham,30,0.136,0.771,0.857,0.0000559,0.895,-5.06,0.0742,118.415,0.759
Micheal Jackson,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,History - Tony Moran's HIStory Lesson,29,0.748,0.25,0.273,0.0000172,0.145,-11.584,0.0316,108.511,0.116
